--- The following is a list of skipped games ---
'Jurassic park 3 - Dino Attack', No returned matches
'Jurassic Park 3 - Island Attack', No returned matches
'Justice League - Injustice for All', No returned matches
'Justice League Heroes - the Flash', No returned matches
'Justice League Heroes - The Flash [E]', No returned matches
'James Bond 007 - Nightfire', No returned matches
'Babar to the Rescue', No returned matches
'Back to Stone', No returned matches
'Backtrack', No returned matches
'Backyard Hockey', No returned matches
'Backyard Skateboarding', No returned matches
'James Bond 007 - Everything or Nothing', No returned matches
'BMX - Trick Racer', No returned matches
'Banjo Pilot', No returned matches
'Baseball Advance', No returned matches
'Baldur's Gate - Dark Alliance', No returned matches
'Banjo Kazooie - Grunty's Revenge', No returned matches
'Barnyard', No returned matches
'Big Mutha Truckers', No returned matches
'Berenstain Bears - Spooky Old Tree', No returned matches
'Bible Game', No returned matches
'Black Bass Advance', No returned matches
'Blackthorne', No returned matches
'Black Belt Challenge', No returned matches
'Board Game Classics', No returned matches
'Bookworm', No returned matches
'Blades of Thunder', No returned matches
'Blender Bros', No returned matches
'Bat-Man Begins', No returned matches
'Boxing Fever', No returned matches
'Brother Bear', No returned matches
'Boulder-Dash EX', No returned matches
'Britney's Dance Beat', No returned matches
'Buffy - the Vampire Slayer', No returned matches
'Bubble Pop', No returned matches
'Broken Sword - the Shadow of the Templars', No returned matches
'Bruce Lee - Return Of The Legend [E]', No returned matches
'Butt-Ugly Martians - B.K.M. Battles', No returned matches
'Bust a Move', No returned matches
'Bratz - Forever Diamondz', No returned matches
'Bratz - Babyz', No returned matches
'Bratz', No returned matches
'Bratz - the Movie', No returned matches
'Batman Vengeance', No returned matches
'Batman - Rise of Sin Tzu', No returned matches
'Battle-Bots - Design and Destroy', No returned matches
'Bratz - Rock Angels', No returned matches
'Batman Begins', No returned matches
'Battle-Bots - Beyond the Battlebox', No returned matches
'Best Friends - Dogs & Cats', No returned matches
'Best Friends - Dogs and Cats', No returned matches
'Breath of Fire', No returned matches
'Best Friends - My Horse', No returned matches
'Battle B-Daman', No returned matches
'Battle B-Daman - Fire Spirits', No returned matches
'Backyard Football 2006', No returned matches
'Backyard Football 2007', No returned matches
