--- The following is a list of skipped games ---
'Psychic World (UE) [T+Ger1.00_Star-trans]', No returned matches
'Putt & Putter (UE) [!]', No returned matches
'Psycho Fox (UE) [!]', No returned matches
'Putt & Putter (UE) [a1][!]', No returned matches
'Danan the Jungle Fighter (UE) [!]', No returned matches
'Damiana (PD)', No returned matches
'Dead Angle (UE) [!]', No returned matches
'Dead Angle (UE) [b1]', No returned matches
'Daffy Duck in Hollywood (UE) [!]', No returned matches
'Desert Speedtrap (UE) [!]', No returned matches
'Deep Duck Trouble (UE) [!]', No returned matches
'Desert Strike (UE) [!]', No returned matches
'Desert Strike (UE) [b1]', No returned matches
'Desert Strike (UE) [b2]', No returned matches
'Dick Tracy (UE) [!]', No returned matches
'Dodgeball King (Korean)', No returned matches
'Double Dragon (UE) [!]', No returned matches
'Double Dragon (UE) [b1]', No returned matches
'Double Dragon (UE) [b3]', No returned matches
'Double Dragon (UE) [b2]', No returned matches
'Double Target (J) [!]', No returned matches
'Double Hawk (UE) [!]', No returned matches
'Dr. Robotnik's Mean Bean Machine (UE) [!]', No returned matches
'Double Hawk (UE) [b1]', No returned matches
'Dynamite Duke (UE) [!]', No returned matches
'Dynamite Duke (UE) [b1]', No returned matches
'Dragon Crystal (UE) [!]', No returned matches
'Dragon - The Bruce Lee Story (UE) [!]', No returned matches
'ZEXALL V0.12SDSC by Maxim & Eric Quinn (PD)', No returned matches
'ZEXALL V0.12VDP by Maxim & Eric Quinn (PD)', No returned matches
'Zaxxon 3D (UE) [!]', No returned matches
'Zillion (UE) [!]', No returned matches
'Zillion (UE) [T+Por]', No returned matches
'Zillion (UE) [T+Por][o1]', No returned matches
'Zillion (UE) [o1]', No returned matches
'Zillion (UE) [b1][o1]', No returned matches
'Dynamite Dux (UE) [!]', No returned matches
'Zillion II - The Tri Formation (UE) [!]', No returned matches
'Zillion II - The Tri Formation (UE) [b1]', No returned matches
'Zillion II - The Tri Formation (UE) [o1]', No returned matches
'Zool (UE) [!]', No returned matches
'Zoop's Birthday Demo (PD)', No returned matches
'SMS Boot Loader 0.9 (PD)', No returned matches
'SDI (JUE) [!]', No returned matches
'SMS Cast - A Tribute To Loose Logic (PD)', No returned matches
'SMS Chip-8 V1.11 by Maxim (PD)', No returned matches
'SALY V1.00 by Mark Klemp (PD)', No returned matches
'SMS Palette by Omar Cornut (PD)', No returned matches
'SMS Power Demo Build 31 by Zoop (PD)', No returned matches
'SMS Chip-8 V0.1 by Maxim (PD)', No returned matches
'SMS Tetris Release 2 by Heliophobe (PD)', No returned matches
'SMS', No returned matches
'SMSC Basic Demo (PD) [b1]', No returned matches
'SMS Tetris Release 4 by Heliophobe (PD)', No returned matches
'SMS VGM player V0.45 by Maxim (PD)', No returned matches
'SMS Tetris Release 3 by Heliophobe (PD)', No returned matches
'SMSC Text Demo V2 (PD)', No returned matches
'SMSC Text Demo V2 (PD) [b1]', No returned matches
'SMSC Text Demo V1 (PD) [b1]', No returned matches
'Sapo Xule SOS Lagoa Poluida (Brazil) [!]', No returned matches
'Sagaia (UE) [!]', No returned matches
'Sagaia (UE) [b1]', No returned matches
'Satellite 7 (J) [!]', No returned matches
'Sangokushi 3 (Korean)', No returned matches
'Sapo Xule vs. os Invasores do Brejo (Brazil)', No returned matches
'Sapo Xule o Mestre Do Kung Fu (Brazil) [!]', No returned matches
'Scroll Test Program by Charles MacDonald (PD)', No returned matches
'Scramble Spirits (UE) [!]', No returned matches
'Scramble Spirits (UE) [h1]', No returned matches
'Secret Commando (UE) [!]', No returned matches
'Secret Commando (UE) [o1]', No returned matches
'Seishyun Scandal (J) [!]', No returned matches
'Sega Chess (UE) [!]', No returned matches
'Sega Chess (UE) [T+Spa]', No returned matches
'Seishyun Scandal (J) [a1][!]', No returned matches
'Sega World Tournament Golf (U) [!]', No returned matches
'Sensible Soccer (UE) [!]', No returned matches
'Shadow of the Beast (UE) [!]', No returned matches
'Shanghai (UE) [!]', No returned matches
'Shadow Dancer (UE) [!]', No returned matches
'Shadow Dancer (UE) [b1]', No returned matches
'Shanghai (UE) [o1]', No returned matches
'Shinobi (UE) [!]', No returned matches
'Shinobi (UE) [b1]', No returned matches
'Simple Sprite Demo Release 2 by Heliophobe (PD)', No returned matches
'Shinobi (UE) [b2]', No returned matches
'Shooting Gallery (UE) [!]', No returned matches
'Slap Shot (E) [!]', No returned matches
'Slap Shot (U) [!]', No returned matches
'Slap Shot (U) [b1]', No returned matches
'Sitio do Picapau Amarelo (Brazil) [!]', No returned matches
'Slap Shot (U) [b2]', No returned matches
'Smash TV (UE) [!]', No returned matches
'Snail Music Demo (PD)', No returned matches
'Solomon no Kagi (J) [!]', No returned matches
'Smurfs 2, The (Smurfs Travel the World) (E) [!]', No returned matches
'Smurfs, The (UE) [!]', No returned matches
'Sonic Blast (Brazil) [!]', No returned matches
'Sonic Boy 4 - Monster World (UE) (WonderBoy in MW Hack)', No returned matches
'Sonic the Hedgehog (UE) [!]', No returned matches
'Sonic Chaos (UE) [!]', No returned matches
'Sonic Chaos (UE) [b1]', No returned matches
'Sonic Spinball (UE) [!]', No returned matches
'Sonic the Hedgehog 2 (UE) (V1.0) [!]', No returned matches
'Sonic-Boy 3 - Eggman's Room (Teddy Boy Hack)', No returned matches
'Sonic the Hedgehog 2 (UE) (V2.2)', No returned matches
'Sonic vs. os Mauniks (Psycho Fox Hack)', No returned matches
'Sonic-Boy 2 - Eggman's Trap (WonderBoy 3 Hack)', No returned matches
'Sound Test by Heliophobe (PD)', No returned matches
'Sonic-Boy in Monster Land (WonderBoy in ML Hack)', No returned matches
'Space Harrier (UE) [!]', No returned matches
'Space Harrier (J) [!]', No returned matches
'Space Harrier (UE) [b1]', No returned matches
'Space Harrier 3D (UE) [!]', No returned matches
'Speedball (UE) (Virgin) [!]', No returned matches
'Special Criminal Investigation (UE) [!]', No returned matches
'Speedball (UE) (Mirrorsoft) [!]', No returned matches
'Spacegun (UE) [!]', No returned matches
'Speedball 2 (UE) [!]', No returned matches
'Spellcaster (UE) [!]', No returned matches
'Spellcaster (UE) [h1]', No returned matches
'Spellcaster (UE) [T+Fre]', No returned matches
'Sprite and Priority Test Program by Charles McDonald (PD)', No returned matches
'Spider-Man vs. the Kingpin (UE) [!]', No returned matches
'Spider-Man - Return of the Sinister Six (UE) [!]', No returned matches
'Sports Pad Soccer (J) [!]', No returned matches
'Spy vs. Spy (J) [!]', No returned matches
'Spy vs. Spy (UE) [!]', No returned matches
'Star Wars (UE) [!]', No returned matches
'Street Fighter 2 (Brazil) [!]', No returned matches
'Street Fighter 2 (Brazil) [b1]', No returned matches
'Street Fighter 2 (Brazil) [b2]', No returned matches
'Streets of Rage (UE) [!]', No returned matches
'Streets of Rage (UE) [b1]', No returned matches
'Streets of Rage (UE) [T+Fre_1.0]', No returned matches
'Streets of Rage (UE) [T-Fre]', No returned matches
'Streets of Rage 2 (UE) [!]', No returned matches
'Strider (UE) [!]', No returned matches
'Strider (UE) [T+Por_CBT]', No returned matches
'Strider (UE) [T+Por_Emunow]', No returned matches
'Strider (UE) [b1][T+Por_CBT]', No returned matches
'Strider (UE) [b1]', No returned matches
'Strider 2 (UE) [!]', No returned matches
'Sukeban Deka 2 (J) [!]', No returned matches
'Summer Games (UE) [!]', No returned matches
'Strider (UE) [b2]', No returned matches
'Submarine Attack (UE) [!]', No returned matches
'Super Futebol (UE) [b1]', No returned matches
'Super Kick Off (UE) [!]', No returned matches
'Super Kick Off (UE) [b1]', No returned matches
'Super Magic Drive BIOS V3 [!]', No returned matches
'Super Magic Drive BIOS V4.1a [!]', No returned matches
'Super Off-Road (UE) [!]', No returned matches
'Super Monaco GP (UE) [!]', No returned matches
'Super Monaco GP (UE) [a1][!]', No returned matches
'Super Monaco GP 2 (UE) [!]', No returned matches
'Super Racing (UE) [!]', No returned matches
'Super Space Invaders (UE) [!]', No returned matches
'Super Tennis (UE) [!]', No returned matches
'Super Tetris (UE) [!]', No returned matches
'Super Tetris (UE) [o1]', No returned matches
'Super Wonderboy - Monster World (J) [h1]', No returned matches
'Wanted (UE) [!]', No returned matches
'Where in the World is Carmen Sandiego (U) [!]', No returned matches
'Wimbledon (UE) [!]', No returned matches
'Wimbledon 2 (UE) [!]', No returned matches
'Wolf Child (UE) [!]', No returned matches
'Superman (UE) [!]', No returned matches
'Winter Olympics '94 (UE) [!]', No returned matches
'Wonder Boy (UE) [!]', No returned matches
'Wonder Boy (UE) [o1]', No returned matches
'Wonder Boy 2 - Wonderboy in Monsterland (UE) [!]', No returned matches
'Wonder Boy 2 - Wonderboy in Monsterland (UE) [T+Fre_Crispysix]', No returned matches
'Wonder Boy 3 - The Dragon's Trap (UE) [T+Fre]', No returned matches
'Wonder Boy 3 - The Dragon's Trap (UE) [!]', No returned matches
'Wonder Boy 3 - The Dragon's Trap (UE) [T+Swe0.7b_Metalhead]', No returned matches
'Wonder Boy 3 D.C. (WB3 Hack)', No returned matches
'Wonder Boy 5 - Wonder Boy in Monster World (UE) (Proto) [!]', No returned matches
'Wonder Boy 5 - Wonder Boy in Monster World (UE) [!]', No returned matches
'Wonder Boy 5 - Wonder Boy in Monster World (UE) [T+Fre_Microtrads]', No returned matches
'World Class Leaderboard (UE) [!]', No returned matches
'Woody Pop (J) [!]', No returned matches
'World Cup '92 by Tecmo (UE) [!]', No returned matches
'World Cup '93 by Tecmo (JUE) [!]', No returned matches
'Wonder Boy 5 - Wonder Boy in Monster World (UE) (Proto) [b1]', No returned matches
'World Cup '94 (UE) [!]', No returned matches
'World Cup Italia '90 (UE) [!]', No returned matches
'World Cup Italia '90 (UE) [T+Por][p1][!]', No returned matches
'World Cup Italia '90 (UE) [b1]', No returned matches
'World Games (UE) [!]', No returned matches
'World Grand Prix (UE) [!]', No returned matches
'World Grand Prix (UE) [o1]', No returned matches
'World Soccer (UE) [!]', No returned matches
'World Soccer (UE) [o1]', No returned matches
'Action Fighter (J) [!]', No returned matches
