--- The following is a list of skipped games ---
'Ninja Golf (1990) (Atari)', No returned matches
'One-on-One Basketball (1987) (Atari)', No returned matches
'Pete Rose Baseball (1989) (Absolute) [!]', No returned matches
'Pit Fighter (1992) (Atari) (Prototype) [a1]', No returned matches
'Pit Fighter (1992) (Atari) (Prototype)', No returned matches
'Pit Fighter (1992) (Atari) (Prototype) [a2]', No returned matches
'Planet Smashers (1990) (Atari)', No returned matches
'Pole Position II (1987) (Atari)', No returned matches
'Klax (2004) (Impossible Level 2 Hack)', No returned matches
'RealSports Baseball (1988) (Atari)', No returned matches
'Rampage (1989) (Activision) [!]', No returned matches
'Rescue on Fractalus (1984) (Atari) (Prototype)', No returned matches
'Robotron 2084 (1987) (Atari)', No returned matches
'Scrapyard Dog (1990) (Atari)', No returned matches
'Sentinel (1988) (Atari) [!]', No returned matches
'Summer Games (1987) (Atari) [!]', No returned matches
'Super Huey UH-IX (1989) (Atari)', No returned matches
'Super Skateboardin' (1989) (Absolute) [!]', No returned matches
'Symbolic Debugger & Downloader (1988) (Atari) (Crypt Hack)', No returned matches
'Tank Command (1988) (Froggo) [!]', No returned matches
'Rescue on Fractalus (1984) (Atari) (Prototype) (CC2 Hack)', No returned matches
'Touchdown Football (1988) (Atari)', No returned matches
'Tower Toppler (1988) (Atari) [!]', No returned matches
'Tomcat - The F-14 (1989) (Absolute) [!]', No returned matches
'Symbolic Debugger & Downloader (1988) (Atari)', No returned matches
'Tubes (Nov 3) (2004) (Bruce Tomlin)', No returned matches
'Tubes (Nov 3-Signed) (2004) (Bruce Tomlin)', No returned matches
'Water Ski (1988) (Froggo)', No returned matches
'Winter Games (1987) (Atari) [!]', No returned matches
'Xenophobe (1989) (Atari) [!]', No returned matches
'Tubes (2004) (Bruce Tomlin)', No returned matches
'Xevious (1987) (Atari)', No returned matches
'Title Match Pro Wrestling (1989) (Absolute) [!]', No returned matches
